Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 18gsm 220mm x 220mm 120 per flow wrap ,Liquid/Wipes,VJT601 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe disinfectant moist (29),,Wipe disinfectant moist 18gsm 235 mm x 240 mm 360 wipes per flow wrap ,Liquid/Wipes,VJT603 ,https://media.supplychain.nhs.uk/media/documents/VJT603/COSHH/70414_VJT603%20M.S.D.S.pdf,68424-85-1 ,<0.5,7173-51-5,<0.5,27083-27-8,<0.1,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe disinfectant moist (29),,Wipe disinfectant moist 18gsm 180 mm x 180 mm 240 wipes per flow wrap ,Liquid/Wipes,VJT613 ,https://media.supplychain.nhs.uk/media/documents/VJT613/COSHH/70415_VJT613%20MSDS.pdf,68424-85-1 ,<0.5,7173-51-5,<0.5,27083-27-8,<0.1,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe alcohol based (21),,Wipe alcohol based 70% alcohol 2% chlorhexidine individual sachet 18gsm 190mm x 105mm 200 wipes per box class ii medical device ,-,VJT614 ,https://media.supplychain.nhs.uk/media/documents/VJT614/COSHH/69619_VJT614.pdf,67-63-0,70,18472-51-0 ,2,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe sporicidal (7),,Wipe sporicidal Hydrogen Peroxide 25gsm 267mm x 200 mm 100 wipes per canister ,Liquid/Wipes,VJT617 ,https://media.supplychain.nhs.uk/media/documents/VJT617/COSHH/69633_VJT617.pdf,15630-89-4,<50,77-92-9,<20,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe disinfectant moist (29),,Wipe disinfectant moist 18gsm 180mm x 178mm 200 wipes per canister ,Liquid/Wipes,VJT621 ,https://media.supplychain.nhs.uk/media/documents/VJT621/Specification/69629_VJT621.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe disinfectant moist (29),,Wipe disinfectant moist 18gsm 250mm x 228mm 300 wipes per bucket ,Liquid/Wipes,VJT622 ,https://media.supplychain.nhs.uk/media/documents/VJT622/Specification/69630_VJT622.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 30gsm 200mm x 250mm 200 wipes per flow wrap ,-,VJT628 ,https://media.supplychain.nhs.uk/media/documents/VJT628/Specification/70342_VJT628%20M.S.D.S.pdf,1643-20-5,0.5,61789-40-0 ,0.25,57-09-0,0.25,8001-54-5,0.2,60-00-4 ,0.02,26172-55-4 ,0.15,,,,,,,,,,,,
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 30gsm 200mm x 250mm 100 wipes per flow wrap ,-,VJT629 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 21 gsm 266mm x 175mm 120 Wipes Per Flow Wrap ,-,VJT631 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 240mm x 200mm 100 wipes per canister ,Liquid/Wipes,VJT632 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe alcohol based (21),,Wipe alcohol based 70% alcohol 2% chlorhexidine gluconate individual sachet 190mm x 105mm box of 240 sachets class II medical device ,-,VJT638 ,https://media.supplychain.nhs.uk/media/documents/VJT638/COSHH/70676_VJT638.pdf,67-63-0,68 to 75,18472-51-0,2 to 2.5,,,,,,,,,,,,,,,,,,,,
